No.,Ticker,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
164,CHD,0.41,0.86,0.37%,-1.03%,-1.88%,-12.66%,9.51%,48.75,47.32,0.79%,0.47%,0.32%,1921763
165,CHGG,1.46,0.83,9.48%,20.76%,55.59%,-0.18%,143.71%,78.28,28.1,0.46%,-0.18%,0.64%,1464071
166,CHKP,0.64,1.84,1.37%,-0.30%,-5.88%,-16.91%,5.63%,55.37,99.04,1.73%,2.03%,-0.30%,1492153
167,CHRS,3.48,0.86,0.11%,17.18%,31.97%,-32.87%,93.79%,60.03,15.6,0.00%,-0.95%,0.96%,1017461
168,CHRW,0.43,1.85,1.47%,-2.96%,3.10%,-12.64%,38.02%,47.53,87.52,0.60%,-0.11%,0.71%,1113866
169,CHS,0.73,0.5,-14.59%,-13.70%,-5.55%,-22.75%,20.98%,33.75,8.42,-0.47%,-0.94%,0.47%,5115631
170,CIEN,1.33,0.7,-7.47%,-8.68%,1.46%,-16.33%,20.67%,31.28,23.41,1.56%,0.91%,0.65%,7467519
171,CINF,0.87,1.3,-0.50%,-2.89%,-5.41%,-13.82%,2.78%,45.58,70.18,1.17%,0.30%,0.86%,570376
172,CIT,1.25,1.06,-5.52%,-4.40%,0.23%,-10.38%,16.32%,32.81,50.31,0.76%,-0.71%,1.48%,2474884
173,CJ,,1.13,-11.79%,-8.23%,-9.79%,-29.04%,13.53%,35.12,26.1,-3.05%,-3.58%,0.56%,1565094
174,CL,0.75,1.02,-0.03%,-5.96%,-11.75%,-19.54%,2.30%,39.55,62.69,-0.63%,-0.89%,0.25%,3669398
175,CLR,1.28,2.07,1.72%,7.05%,36.42%,-2.49%,134.42%,58.66,68.17,1.23%,0.07%,1.16%,2608044
176,CLSD,,1.06,-22.30%,-16.96%,14.63%,-36.40%,83.96%,33.33,9.75,-1.12%,-3.85%,2.84%,1035479
177,CMA,1.37,2,-1.34%,-0.40%,10.41%,-6.73%,49.52%,46.33,95.75,1.55%,0.05%,1.50%,1323357
178,CMC,1.36,0.7,4.66%,11.28%,12.85%,-9.81%,41.35%,67.69,24.1,1.95%,-0.12%,2.07%,803295
179,CMCM,3.44,0.68,-2.54%,-2.65%,3.88%,-32.34%,63.13%,44.5,12.3,-6.32%,-6.39%,0.08%,1983473
180,CMCSA,1.2,0.72,-1.74%,-4.51%,-15.86%,-28.95%,2.73%,40.58,31.26,0.26%,-0.26%,0.51%,18275856
181,CMS,0.07,0.64,-0.02%,-0.07%,-2.41%,-11.17%,11.59%,48.19,45.17,-2.08%,-2.04%,-0.04%,2489816
182,CNI,1.06,1.48,2.32%,7.88%,5.51%,-2.62%,18.26%,63.23,83.48,0.00%,0.01%,-0.01%,950474
183,CNK,0.96,0.8,-6.43%,-10.59%,-7.62%,-23.21%,5.49%,23.19,33.79,0.06%,-0.27%,0.33%,851691
184,CNQ,1.34,0.9,-3.99%,-0.34%,2.28%,-9.79%,25.22%,43.8,34.46,-0.29%,-0.58%,0.29%,3078619
185,CNX,1.26,0.51,4.06%,6.46%,15.39%,-8.49%,46.44%,62.33,16.55,2.41%,1.66%,0.74%,3478248
186,COF,1.31,2.04,1.46%,0.41%,2.17%,-11.01%,23.38%,52.53,94.77,0.82%,-0.18%,1.00%,1749903
187,COG,0.38,0.62,0.28%,-1.45%,-10.60%,-22.12%,7.62%,49.73,23.03,0.79%,0.44%,0.35%,4053361
188,COLD,,0.64,-0.33%,5.64%,11.26%,-9.30%,32.36%,53.62,21.35,3.64%,1.67%,1.94%,1360813
189,COMM,0.97,0.97,1.53%,-15.30%,-16.67%,-28.39%,13.31%,38.26,29.79,1.60%,1.12%,0.48%,1056489
190,CONE,0.82,1.33,4.24%,7.54%,-1.24%,-14.57%,29.12%,65.46,56.15,1.39%,2.15%,-0.74%,1034469
191,CONN,1.65,1.14,-10.28%,-17.80%,-22.09%,-40.21%,41.25%,27.23,22.6,-2.38%,-3.42%,1.08%,762871
192,COP,1.16,1.75,-0.27%,5.26%,23.82%,-4.77%,61.58%,55.3,68.29,1.34%,0.78%,0.55%,7111293
193,CORT,1.94,0.83,3.99%,7.29%,3.63%,-28.74%,77.88%,56.2,18.5,0.00%,-0.96%,0.97%,874781
194,COUP,,1.75,3.50%,10.52%,39.06%,-1.87%,89.59%,63.42,54.07,1.29%,0.20%,1.09%,993141
195,CPB,0.29,1.06,-11.62%,-17.54%,-26.72%,-42.95%,0.00%,21.9,33.28,-1.07%,-1.22%,0.15%,3499466
196,CPE,1.14,0.55,-16.60%,-15.66%,-4.66%,-24.10%,19.06%,29.64,11.12,-6.08%,-6.48%,0.42%,16054827
197,CPRT,0.97,1.27,2.45%,6.47%,29.08%,-2.13%,83.40%,59.95,55.57,1.35%,0.71%,0.64%,1564019
198,CPT,0.41,1.49,4.16%,4.99%,1.31%,-7.42%,14.13%,67.1,89.24,1.41%,1.31%,0.10%,810406
199,CRC,6.05,2.55,6.89%,39.77%,109.59%,-10.09%,465.84%,64.29,36.61,-0.35%,0.00%,-0.35%,2097403
200,CREE,0.66,1.25,8.02%,13.41%,33.71%,-1.42%,130.83%,73.88,47.32,1.50%,0.60%,0.90%,773971
201,CRH,0.95,0.67,1.34%,5.35%,4.42%,-5.52%,14.41%,57.76,37.15,0.43%,-1.46%,1.92%,647004
202,CRK,0.18,0.79,16.31%,47.15%,57.75%,-6.24%,173.57%,70.39,10.97,-4.61%,-5.02%,0.43%,1148205
203,CROX,0.29,0.57,11.44%,12.57%,44.73%,0.27%,173.35%,69.5,18.26,2.35%,0.66%,1.68%,1110246
204,CRSP,,5.06,11.13%,25.61%,101.38%,-9.16%,395.79%,63.22,67.13,-2.58%,-5.21%,2.77%,2377301
205,CRTO,1.81,1.07,-5.34%,-8.65%,-25.76%,-54.91%,15.57%,38.75,24.27,0.50%,0.41%,0.08%,621610
206,CRUS,0.29,1.08,-5.80%,-5.81%,-24.97%,-49.35%,4.80%,35.91,36.45,-2.75%,-3.11%,0.37%,1671898
207,CRZO,2.14,1.25,0.32%,22.41%,35.45%,-13.37%,124.14%,57.92,24.88,-1.50%,-0.56%,-0.95%,4934030
208,CSCO,1.09,0.84,-1.77%,-0.02%,12.23%,-5.84%,43.81%,50.08,43.66,2.22%,1.75%,0.47%,18327601
209,CSFL,0.51,0.7,0.23%,8.34%,15.82%,-3.41%,43.18%,57.93,31.17,1.37%,0.55%,0.81%,588910
210,CSIQ,2.46,0.59,-5.76%,-3.81%,-4.85%,-17.81%,28.19%,39.26,15.69,-5.54%,-5.77%,0.24%,1407279
211,CSOD,0.56,1.33,7.05%,15.27%,27.94%,0.55%,53.28%,75.71,50.95,2.97%,2.25%,0.71%,964215
212,CSX,1.22,1.22,3.96%,10.13%,18.57%,-0.74%,36.36%,68.57,65.44,1.22%,0.34%,0.88%,4422122
213,CTB,0.45,0.82,2.96%,-4.45%,-21.82%,-36.24%,15.17%,50.03,26,1.17%,0.19%,0.97%,557910
214,CTRP,1.73,1.07,3.46%,2.41%,-4.70%,-25.66%,12.36%,58.27,45.09,0.00%,-0.13%,0.13%,4577598
215,CTSH,1.05,1.43,0.69%,-2.85%,1.37%,-9.67%,17.20%,48.95,76.87,2.02%,1.44%,0.57%,3087926
216,CVLT,1.14,1.29,0.44%,2.90%,17.50%,-3.78%,42.19%,53.82,68.75,0.59%,0.00%,0.59%,925068
217,CVNA,,1.63,6.38%,9.91%,43.24%,-10.14%,218.49%,60.13,28.17,-2.36%,-2.49%,0.14%,1048356
218,CVRR,1.44,1.31,16.78%,39.39%,76.52%,-7.12%,260.45%,72.63,24.15,6.62%,5.92%,0.66%,2022910
219,CVS,1,1.69,-0.46%,-0.71%,-10.87%,-23.73%,6.53%,46.79,64.07,1.07%,0.34%,0.73%,5492544
220,CWH,,1.3,-14.47%,-28.64%,-49.93%,-60.21%,2.62%,26.01,18.83,-0.89%,-1.10%,0.21%,2497032
221,D,0.26,0.92,-1.22%,-3.14%,-15.48%,-25.72%,1.69%,39.13,63.36,-1.29%,-1.19%,-0.11%,3405193
222,DAL,1.08,1.19,2.42%,1.68%,3.41%,-10.48%,22.05%,54.88,54.42,0.68%,0.00%,0.68%,4307955
223,DAN,1.75,0.62,-3.99%,-8.69%,-19.42%,-35.72%,8.31%,32.07,22.67,1.66%,-1.18%,2.87%,2159298
224,DATA,0.82,2.3,4.13%,13.24%,25.88%,-1.27%,72.10%,71.71,98.53,-0.34%,-0.37%,0.03%,1022962
225,DBD,1.95,0.58,-4.34%,-15.80%,-32.82%,-58.60%,3.28%,37.91,11.8,2.61%,1.72%,0.87%,1649267
226,DBX,,0.92,-1.98%,-1.99%,-1.99%,-14.87%,6.85%,45.84,29.65,-1.13%,-1.17%,0.03%,2297597
227,DCT,0.88,1.07,0.90%,8.81%,12.14%,-1.11%,26.37%,65.4,65.79,1.01%,0.60%,0.41%,609699
228,DDD,1.39,0.55,4.10%,7.39%,11.79%,-44.84%,57.20%,57.38,12.45,0.73%,0.65%,0.08%,1395893
229,DEI,0.69,0.56,1.51%,4.13%,-0.02%,-7.50%,10.80%,61.75,38.47,-0.05%,-0.23%,0.18%,580987
230,DERM,1.47,0.68,-10.64%,-1.05%,-57.70%,-71.79%,27.65%,44.75,8.91,2.65%,2.30%,0.35%,647321
231,DFS,1.45,1.55,-1.36%,1.45%,4.44%,-9.67%,28.71%,47.78,74.01,0.20%,-0.76%,0.97%,1732007
232,DG,0.98,2.23,-6.08%,-6.48%,-0.44%,-15.65%,35.30%,32.98,89.26,2.03%,2.01%,0.02%,7290794
233,DGAZ,,1.27,-12.64%,-18.66%,-19.01%,-48.65%,28.59%,33.84,22.04,-1.78%,-1.87%,0.09%,4589582
234,DHI,1.11,1.17,-1.24%,-3.42%,-4.82%,-20.84%,29.74%,44.35,42.21,0.00%,-0.54%,0.54%,3010254
235,DIS,1.28,1.62,-2.64%,-1.62%,-3.64%,-12.22%,3.28%,39.7,99.36,-0.11%,-0.33%,0.22%,6844572
236,DISCA,1.51,0.72,-8.16%,-8.15%,-4.58%,-24.96%,31.02%,33.88,20.95,-0.66%,-1.09%,0.43%,6303153
237,DISCK,,0.71,-7.88%,-6.62%,-3.89%,-26.89%,32.42%,36.31,19.85,0.40%,0.15%,0.25%,4165988
238,DISH,1.1,1.12,-7.97%,-17.23%,-36.40%,-56.27%,0.99%,27.06,29.08,-1.59%,-2.25%,0.68%,2957990
239,DK,1.47,2.21,16.48%,27.48%,72.22%,3.10%,188.57%,78.22,59.59,6.83%,5.67%,1.09%,3902352
240,DKS,0.52,1.59,11.11%,7.77%,17.44%,-15.57%,48.03%,58.51,35.35,-3.42%,-4.46%,1.09%,6724999
241,DLPH,,1.28,0.95%,2.95%,-0.60%,-15.71%,33.95%,52.32,50.9,1.60%,0.67%,0.92%,549218
242,DLTR,0.79,2.88,-13.19%,-14.85%,-15.95%,-30.32%,23.85%,21.64,81.28,-1.59%,-2.25%,0.68%,7653765
243,DM,1.86,0.61,-9.86%,-13.64%,-50.59%,-63.13%,2.39%,28.34,12.85,0.39%,-1.15%,1.56%,917682
244,DNKN,0.3,1.08,-1.55%,2.56%,7.38%,-6.82%,25.33%,48.86,63.78,-0.39%,-0.73%,0.34%,1296387
245,DO,1.15,0.79,-1.78%,3.90%,15.13%,-11.30%,85.08%,52.61,18.61,2.48%,2.65%,-0.17%,1457141
246,DOCU,,2.25,11.69%,14.06%,14.06%,-2.11%,35.46%,,50.12,0.62%,-0.32%,0.94%,564239
247,DOV,1.29,1.83,0.67%,0.96%,0.58%,-11.44%,25.66%,50.68,77.96,0.97%,-0.05%,1.02%,1206012
248,DPLO,1.34,0.89,0.00%,6.86%,10.53%,-16.27%,63.40%,51.5,23.26,-1.19%,-1.27%,0.08%,800480
249,DRI,0.18,1.7,-0.11%,0.02%,0.39%,-11.60%,16.04%,51.11,88.5,1.25%,0.24%,1.01%,1262010
250,DRIP,,0.58,-5.72%,-28.48%,-54.68%,-77.17%,17.35%,37.13,6.56,0.46%,0.61%,-0.15%,4129129
251,DRQ,0.79,1.49,4.61%,6.28%,6.05%,-14.94%,34.17%,61.38,48.1,0.10%,-0.52%,0.62%,1058695
252,DSW,0.63,0.84,-2.55%,4.29%,14.92%,-9.30%,58.45%,47.34,23.99,0.46%,0.54%,-0.08%,3990443
253,DUK,0.12,1.17,-0.83%,-1.73%,-7.25%,-17.12%,4.32%,45.49,76.08,-1.40%,-1.35%,-0.05%,3401346
254,DUST,,0.96,1.88%,0.19%,-2.80%,-32.44%,27.51%,50.03,24.24,0.46%,0.08%,0.37%,3353278
255,DVA,1.11,1.37,0.55%,3.16%,2.67%,-16.88%,27.77%,54.54,67.09,0.37%,-0.04%,0.42%,1250003
256,DVAX,0.83,0.92,-5.46%,-10.86%,-12.83%,-33.74%,201.40%,42.83,16.2,2.53%,2.21%,0.32%,1642998
257,DVMT,,2.16,10.53%,13.84%,10.11%,-8.17%,41.59%,74.72,84.85,5.19%,2.84%,2.29%,3784368
258,DVN,2.2,1.25,1.55%,13.49%,13.32%,-8.33%,43.78%,62.84,41.4,-0.41%,-0.53%,0.12%,4918879
259,DWDP,,1.49,-0.01%,1.34%,-4.97%,-14.15%,8.00%,52.42,66.17,3.21%,2.00%,1.19%,8897775
260,DXC,0.92,3.2,-16.31%,-17.75%,-13.14%,-22.67%,13.45%,21.13,83.4,-9.46%,3.18%,-12.25%,3879152
261,DXCM,-0.02,2.41,6.72%,18.31%,45.96%,3.13%,116.33%,79.27,92.2,4.78%,4.65%,0.13%,1437327
262,DXD,,0.82,-0.48%,-2.80%,-9.29%,-32.06%,11.14%,47.11,33.43,-1.79%,-0.12%,-1.67%,582633
263,DXJ,,0.61,-1.62%,-0.31%,-0.78%,-10.16%,11.02%,45.18,56.4,1.59%,0.07%,1.51%,2309409
264,EAF,,0.72,-1.85%,3.17%,3.17%,-9.10%,29.93%,,18.19,-0.87%,-1.19%,0.33%,892998
265,EAT,0.03,1.47,-1.72%,6.04%,20.00%,-7.38%,47.69%,51.83,43.57,-0.37%,-0.84%,0.48%,1355599
266,EBAY,1.25,0.77,0.76%,-2.27%,-1.13%,-18.41%,13.13%,50.4,38.34,1.64%,0.74%,0.90%,7805362
267,EC,1.35,0.76,-0.48%,2.76%,42.63%,-7.03%,152.18%,52.19,21.7,0.98%,0.56%,0.42%,1724586
268,ECYT,0.61,0.84,5.20%,26.01%,134.97%,-9.15%,1053.85%,60.28,13.5,-1.24%,-2.10%,0.88%,1028838
269,ED,0.06,1.1,-0.58%,-2.12%,-6.92%,-15.79%,2.99%,44.26,75.54,-1.55%,-1.47%,-0.08%,1590276
270,EDIT,,2.24,4.87%,7.27%,25.16%,-17.79%,180.38%,56.19,37.01,-3.42%,-4.49%,1.12%,1682593
271,EDR,0.42,0.94,10.56%,14.18%,9.21%,-7.10%,26.17%,78.77,37.94,3.83%,3.69%,0.14%,3915243
272,EEM,,0.65,-0.26%,-1.62%,-1.46%,-11.04%,13.28%,47.72,46.33,1.40%,0.59%,0.81%,66761217
273,EFA,,0.65,-1.34%,-0.66%,0.06%,-7.00%,8.43%,45.51,70,0.86%,0.11%,0.75%,39195781
274,EFV,,0.56,-2.54%,-2.23%,-2.10%,-9.37%,5.93%,39.46,53.99,0.86%,0.11%,0.75%,576807
275,EGHT,0.55,0.89,-9.71%,-4.60%,17.32%,-16.92%,85.92%,41.01,19.15,2.41%,2.96%,-0.53%,1491114
276,EGN,1.39,2.3,-4.38%,-1.12%,12.73%,-10.92%,38.89%,43.84,64.11,-5.50%,-5.73%,0.25%,1830451
277,EIDO,,0.56,4.30%,-0.79%,-5.61%,-15.93%,10.33%,55.5,25.73,0.82%,0.43%,0.39%,1598070
278,EIX,0.16,1.04,-1.98%,-3.58%,-12.54%,-27.03%,5.57%,37.97,60.84,-2.12%,-1.93%,-0.19%,2244779
279,EMR,1.19,1.41,-0.34%,2.49%,6.31%,-4.14%,24.36%,51.66,71.37,0.75%,-0.25%,1.00%,3483127
280,ENB,0.67,0.66,-3.84%,-2.10%,-15.26%,-27.37%,5.97%,42.96,30.73,-1.09%,-1.44%,0.35%,4706402
281,ENLK,2.12,0.5,9.47%,20.04%,13.28%,-4.57%,39.06%,75.57,17.73,3.68%,3.99%,-0.29%,943613
282,ENR,,1.64,4.89%,5.28%,18.55%,-6.11%,47.86%,58.53,60.09,-1.07%,-1.56%,0.49%,631522
283,ENTG,1.41,0.95,2.79%,3.07%,13.47%,-5.75%,65.56%,58.05,36.05,2.71%,1.69%,1.00%,798195
284,EPC,0.77,1.36,0.63%,-2.51%,-24.12%,-43.42%,11.77%,46.4,44.15,0.98%,0.59%,0.39%,625007
285,EPD,0.84,0.57,5.95%,11.90%,14.03%,1.16%,29.23%,78.3,29.38,1.66%,1.45%,0.21%,5461806
286,EQH,,0.62,0.22%,0.22%,0.22%,-2.09%,10.46%,,21.54,0.84%,0.19%,0.66%,3026086
287,EQR,0.39,1.05,3.42%,3.81%,0.53%,-9.40%,16.12%,62.27,63.83,-0.25%,-0.44%,0.19%,1981400
288,EQT,0.7,1.72,1.27%,4.89%,-7.42%,-23.48%,18.79%,55.24,51.91,0.72%,0.48%,0.23%,2696034
289,ERJ,0.14,0.88,-2.54%,-5.62%,2.57%,-15.29%,35.98%,43.65,24.16,0.42%,0.17%,0.25%,845041
290,ERX,,2.04,-0.94%,12.66%,24.04%,-12.51%,81.33%,54.51,38.75,1.52%,0.54%,0.97%,1749080
291,ES,0.32,0.92,-2.91%,-4.62%,-8.31%,-15.65%,0.89%,33.9,55.8,-2.24%,-1.50%,-0.75%,2536060
292,ESIO,0.94,0.78,3.58%,4.72%,8.23%,-27.31%,168.67%,57.06,20.15,2.70%,2.34%,0.36%,582585
293,ESNT,1.2,0.91,-0.78%,-5.16%,-16.17%,-30.23%,6.75%,40.92,34.94,1.87%,1.04%,0.82%,749218
294,ESPR,2.36,3.54,-4.45%,-34.86%,-36.12%,-54.04%,20.63%,33.78,38,-1.27%,-1.12%,-0.16%,1104528
295,ESRX,0.96,1.81,4.25%,5.87%,11.08%,-9.40%,38.12%,60.8,77.07,1.66%,1.27%,0.38%,2889728
296,ETFC,1.27,1.35,0.41%,6.80%,26.74%,-3.01%,87.53%,57.96,64.08,1.15%,0.09%,1.06%,2475108
297,ETN,1.35,1.49,-0.10%,-0.67%,-1.72%,-14.41%,10.14%,47.63,76.9,0.42%,-0.41%,0.84%,2043571
298,ETR,0.45,1.26,1.50%,1.13%,0.17%,-8.91%,11.34%,55.26,80.11,-0.99%,-0.71%,-0.28%,1598836
299,ETSY,,1.01,4.92%,7.40%,46.87%,-3.10%,141.01%,61.99,31.62,-2.23%,-2.71%,0.49%,2459603
300,EV,1.67,1.06,-3.12%,-2.08%,1.00%,-10.99%,20.40%,40.59,54.25,0.84%,-0.18%,1.02%,613730
301,EVH,,0.6,4.96%,17.92%,28.96%,-28.00%,92.23%,66.91,19.8,-3.18%,-3.88%,0.73%,2127571
302,EVHC,0.45,1.15,5.60%,11.69%,12.86%,-31.31%,84.94%,65.67,43.96,2.52%,2.09%,0.42%,3484469
303,EWBC,1.41,1.4,1.79%,7.83%,14.13%,-2.19%,34.56%,60.82,71.13,2.37%,0.62%,1.74%,789928
304,EWI,,0.62,-6.11%,-7.30%,-4.37%,-11.86%,11.33%,35.31,30.36,0.23%,-0.49%,0.73%,3956134
305,EWM,,0.73,-2.79%,-5.73%,-2.24%,-9.78%,5.67%,40.71,32.98,0.98%,0.37%,0.61%,960899
306,EWP,,0.53,-5.65%,-5.94%,-7.33%,-15.15%,4.22%,35.23,30.87,1.18%,-0.19%,1.38%,853590
307,EWW,,0.9,-3.83%,-9.72%,-12.85%,-22.21%,1.58%,32.79,44.98,0.67%,-0.40%,1.07%,3627431
308,EWY,,1.09,-0.21%,-0.92%,0.08%,-7.07%,11.74%,48.67,73.48,1.86%,0.57%,1.28%,3467432
309,EWZ,,1.11,-8.43%,-13.82%,-14.75%,-25.16%,9.51%,29.16,35.81,0.53%,-0.86%,1.40%,50081172
310,EXAS,0.86,2.42,13.93%,24.66%,21.34%,-6.38%,91.82%,75.22,59.54,0.00%,-1.26%,1.28%,2049736
311,EXC,0.19,0.66,1.38%,3.88%,5.12%,-3.94%,15.89%,60.02,40.99,-0.97%,-0.97%,0.00%,6910450
312,EXEL,2.1,0.94,-1.98%,-3.22%,-20.02%,-36.68%,12.77%,46.78,20.58,-0.72%,-1.25%,0.53%,3789876
313,EXPD,0.7,1.54,6.06%,13.62%,20.55%,-0.05%,42.12%,76.2,75.62,1.53%,0.79%,0.74%,1881657
314,EXR,0.25,1.53,2.94%,7.60%,14.22%,-0.75%,31.09%,67.77,96.61,0.37%,0.12%,0.25%,603648
315,EZU,,0.53,-2.51%,-2.27%,-1.64%,-8.72%,7.47%,41.17,43.02,0.66%,-0.30%,0.96%,6489199
316,FAF,0.83,0.87,-2.96%,-5.24%,-4.72%,-17.16%,21.21%,33.71,51.95,-0.25%,-0.80%,0.56%,955094
317,FAS,,2.34,-1.36%,1.44%,2.92%,-20.53%,52.49%,49.41,65.8,2.54%,0.08%,2.46%,2224555
318,FAST,0.99,1.19,2.82%,2.84%,5.93%,-8.69%,34.78%,58.78,53.63,0.75%,0.11%,0.64%,2649925
319,FBHS,1.37,1.22,0.78%,-0.85%,-10.73%,-22.85%,6.05%,49.64,56.8,1.12%,0.53%,0.59%,1071432
320,FCAU,,0.77,-3.71%,-3.69%,9.46%,-13.63%,106.87%,44.65,21.55,-7.23%,-5.48%,-1.85%,13194987
321,FCX,2.49,0.59,4.34%,0.72%,3.75%,-15.46%,54.93%,55.81,17.12,1.30%,-0.29%,1.60%,12800428
322,FE,0.28,0.53,1.20%,0.29%,4.79%,-3.82%,19.33%,54.94,34.2,-0.64%,-0.64%,0.00%,2755824
323,FET,1.9,0.59,-3.22%,8.90%,2.95%,-21.81%,39.80%,52.36,14.05,-0.71%,-1.40%,0.71%,1252515
324,FEYE,0.35,0.5,-2.77%,-4.65%,4.39%,-13.22%,25.37%,43.73,16.8,0.66%,0.00%,0.66%,3032283
325,FEZ,,0.52,-2.87%,-2.52%,-2.76%,-9.59%,4.74%,40.38,39.99,0.96%,-0.22%,1.19%,6156050
326,FHB,,0.62,3.89%,5.21%,2.87%,-8.53%,12.55%,64.97,29.6,1.09%,0.68%,0.41%,1158810
327,FII,1.27,0.67,-1.44%,-15.31%,-21.75%,-33.65%,1.41%,28.35,24.39,0.49%,-0.89%,1.40%,1508329
